field0,p
string,string
,
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,Y
A,X
A,X
A,Y
A,X
A,X
A,X
A,X
A,X
A,X
A,X
A,Y
A,Y
A,X
A,X
A,X
A,X
A,Y
A,X
A,X
A,X
